instituicao,edicao,candidatura_id,cenario_teste,membro_id,relacao,idade,ocupacao,categoria_documental,tipo_documento,regra_aplicabilidade,obrigatoriedade,arquivo_id,status_documento,competencia,valor_declarado,valor_extraido,confianca_extracao,pendencia_esperada,revisao_humana_esperada,nivel_confirmacao_fonte
bom_aluno_bh,selecao_2026,BOM-SYN-0001,inscricao_inicial_completa,BOM-SYN-0001-M1,candidato,12,estudante,inscricao,ficha_inscricao,todo_candidato,obrigatorio,BOM-DOC-000001,ok,2026,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
bom_aluno_bh,selecao_2026,BOM-SYN-0001,inscricao_inicial_completa,BOM-SYN-0001-M1,candidato,12,estudante,escolar,boletim_ano_anterior,todo_candidato,obrigatorio,BOM-DOC-000002,ok,2025,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
bom_aluno_bh,selecao_2026,BOM-SYN-0001,inscricao_inicial_completa,BOM-SYN-0001-M1,candidato,12,estudante,escolar,boletim_ano_atual,todo_candidato,obrigatorio,BOM-DOC-000003,ok,2026_bimestres_disponiveis,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
bom_aluno_bh,selecao_2026,BOM-SYN-0001,inscricao_inicial_completa,BOM-SYN-0001-M2,responsavel,31,responsavel_familiar,cadastro_social,folha_resumo_cadunico,familia_inscrita_no_cadunico,preferencial,BOM-DOC-000004,ok,atual,nao_se_aplica,nao_se_aplica,0.97,nenhuma,sim,parcial
bom_aluno_bh,selecao_2026,BOM-SYN-0001,inscricao_inicial_completa,BOM-SYN-0001-M1,candidato,12,estudante,identificacao,certidao_ou_rg_candidato,lista_detalhada_nao_publicada,a_validar,BOM-DOC-000005,ok,periodo_a_validar,nao_se_aplica,nao_se_aplica,0.97,nenhuma,sim,hipotese
bom_aluno_bh,selecao_2026,BOM-SYN-0002,boletim_atual_faltante,BOM-SYN-0002-M1,candidato,11,estudante,inscricao,ficha_inscricao,todo_candidato,obrigatorio,BOM-DOC-000006,ok,2026,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
bom_aluno_bh,selecao_2026,BOM-SYN-0002,boletim_atual_faltante,BOM-SYN-0002-M1,candidato,11,estudante,escolar,boletim_ano_anterior,todo_candidato,obrigatorio,BOM-DOC-000007,ok,2025,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
bom_aluno_bh,selecao_2026,BOM-SYN-0002,boletim_atual_faltante,BOM-SYN-0002-M1,candidato,11,estudante,escolar,boletim_ano_atual,todo_candidato,obrigatorio,ausente,faltante,2026_bimestres_disponiveis,nao_se_aplica,nao_se_aplica,0.00,solicitar_documento_faltante,sim,confirmado
bom_aluno_bh,selecao_2026,BOM-SYN-0002,boletim_atual_faltante,BOM-SYN-0002-M2,responsavel,32,responsavel_familiar,cadastro_social,folha_resumo_cadunico,familia_inscrita_no_cadunico,preferencial,BOM-DOC-000009,ok,atual,nao_se_aplica,nao_se_aplica,0.97,nenhuma,sim,parcial
bom_aluno_bh,selecao_2026,BOM-SYN-0002,boletim_atual_faltante,BOM-SYN-0002-M2,responsavel,32,responsavel_familiar,identificacao,rg_cpf_responsavel,lista_detalhada_nao_publicada,a_validar,BOM-DOC-000010,ok,periodo_a_validar,nao_se_aplica,nao_se_aplica,0.97,nenhuma,sim,hipotese
