instituicao,edicao,candidatura_id,cenario_teste,membro_id,relacao,idade,ocupacao,categoria_documental,tipo_documento,regra_aplicabilidade,obrigatoriedade,arquivo_id,status_documento,competencia,valor_declarado,valor_extraido,confianca_extracao,pendencia_esperada,revisao_humana_esperada,nivel_confirmacao_fonte
inteli,graduacao_2026,INT-SYN-0001,dossie_completo,INT-SYN-0001-M1,candidato,18,sem_renda,identificacao,rg_ou_cnh_candidato,todo_candidato,obrigatorio,INT-DOC-000001,ok,atual,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0001,dossie_completo,INT-SYN-0001-M2,responsavel,35,assalariado,identificacao,rg_cpf_adulto,todo_adulto,obrigatorio,INT-DOC-000002,ok,atual,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0001,dossie_completo,INT-SYN-0001-M2,responsavel,35,assalariado,residencia,comprovante_residencia_ultimo_mes,todo_grupo_familiar,obrigatorio,INT-DOC-000003,ok,2025-09,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0001,dossie_completo,INT-SYN-0001-M2,responsavel,35,assalariado,moradia,irpf_ou_iptu,moradia_propria,condicional,INT-DOC-000004,ok,2025-09,1200.00,1200.00,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0001,dossie_completo,INT-SYN-0001-M2,responsavel,35,assalariado,trabalho,ctps,todo_adulto,obrigatorio,INT-DOC-000005,ok,atual,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0001,dossie_completo,INT-SYN-0001-M2,responsavel,35,assalariado,trabalho,cnis_completo,todo_adulto,obrigatorio,INT-DOC-000006,ok,atual,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0001,dossie_completo,INT-SYN-0001-M2,responsavel,35,assalariado,tributario,irpf_com_recibo_ou_nada_consta,todo_adulto,obrigatorio,INT-DOC-000007,ok,exercicio_2025_ano_base_2024,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0001,dossie_completo,INT-SYN-0001-M2,responsavel,35,assalariado,financeiro,extratos_todas_contas,todo_adulto,obrigatorio,INT-DOC-000008,ok,2025-07|2025-08|2025-09,1587.00,1587.00,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0001,dossie_completo,INT-SYN-0001-M2,responsavel,35,assalariado,renda,holerites_3_meses,renda_assalariado,condicional,INT-DOC-000009,ok,2025-07|2025-08|2025-09,1587.00,1587.00,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0001,dossie_completo,INT-SYN-0001-M2,responsavel,35,assalariado,patrimonio,crlv_ou_renavam,grupo_possui_veiculo,condicional,INT-DOC-000010,ok,media_2025-07_a_2025-09,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0002,documento_faltante,INT-SYN-0002-M1,candidato,19,sem_renda,identificacao,rg_ou_cnh_candidato,todo_candidato,obrigatorio,INT-DOC-000011,ok,atual,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0002,documento_faltante,INT-SYN-0002-M2,responsavel,36,trabalhador_informal,identificacao,rg_cpf_adulto,todo_adulto,obrigatorio,INT-DOC-000012,ok,atual,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0002,documento_faltante,INT-SYN-0002-M2,responsavel,36,trabalhador_informal,residencia,comprovante_residencia_ultimo_mes,todo_grupo_familiar,obrigatorio,INT-DOC-000013,ok,2025-09,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0002,documento_faltante,INT-SYN-0002-M2,responsavel,36,trabalhador_informal,moradia,comprovante_aluguel_ultimo_mes,moradia_alugada,condicional,INT-DOC-000014,ok,2025-09,1200.00,1200.00,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0002,documento_faltante,INT-SYN-0002-M2,responsavel,36,trabalhador_informal,trabalho,ctps,todo_adulto,obrigatorio,INT-DOC-000015,ok,atual,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0002,documento_faltante,INT-SYN-0002-M2,responsavel,36,trabalhador_informal,trabalho,cnis_completo,todo_adulto,obrigatorio,INT-DOC-000016,ok,atual,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0002,documento_faltante,INT-SYN-0002-M2,responsavel,36,trabalhador_informal,tributario,irpf_com_recibo_ou_nada_consta,todo_adulto,obrigatorio,INT-DOC-000017,ok,exercicio_2025_ano_base_2024,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0002,documento_faltante,INT-SYN-0002-M2,responsavel,36,trabalhador_informal,financeiro,extratos_todas_contas,todo_adulto,obrigatorio,INT-DOC-000018,ok,2025-07|2025-08|2025-09,1724.00,1724.00,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0002,documento_faltante,INT-SYN-0002-M2,responsavel,36,trabalhador_informal,renda,declaracao_trabalho_informal,renda_trabalhador_informal,condicional,ausente,faltante,2025-07|2025-08|2025-09,1724.00,nao_extraido,0.00,solicitar_documento_faltante,sim,confirmado
inteli,graduacao_2026,INT-SYN-0002,documento_faltante,INT-SYN-0002-M2,responsavel,36,trabalhador_informal,renda,comprovante_ou_declaracao_pensao,recebe_pensao,condicional,INT-DOC-000020,ok,media_2025-07_a_2025-09,420.00,420.00,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0003,arquivo_ilegivel,INT-SYN-0003-M1,candidato,20,sem_renda,identificacao,rg_ou_cnh_candidato,todo_candidato,obrigatorio,INT-DOC-000021,ok,atual,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0003,arquivo_ilegivel,INT-SYN-0003-M2,responsavel,37,mei,identificacao,rg_cpf_adulto,todo_adulto,obrigatorio,INT-DOC-000022,ok,atual,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0003,arquivo_ilegivel,INT-SYN-0003-M2,responsavel,37,mei,residencia,comprovante_residencia_ultimo_mes,todo_grupo_familiar,obrigatorio,INT-DOC-000023,ok,2025-09,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0003,arquivo_ilegivel,INT-SYN-0003-M2,responsavel,37,mei,moradia,comprovante_financiamento_ultimo_mes,moradia_financiada,condicional,INT-DOC-000024,ok,2025-09,1200.00,1200.00,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0003,arquivo_ilegivel,INT-SYN-0003-M2,responsavel,37,mei,trabalho,ctps,todo_adulto,obrigatorio,INT-DOC-000025,ok,atual,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0003,arquivo_ilegivel,INT-SYN-0003-M2,responsavel,37,mei,trabalho,cnis_completo,todo_adulto,obrigatorio,INT-DOC-000026,ok,atual,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0003,arquivo_ilegivel,INT-SYN-0003-M2,responsavel,37,mei,tributario,irpf_com_recibo_ou_nada_consta,todo_adulto,obrigatorio,INT-DOC-000027,ok,exercicio_2025_ano_base_2024,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0003,arquivo_ilegivel,INT-SYN-0003-M2,responsavel,37,mei,financeiro,extratos_todas_contas,todo_adulto,obrigatorio,INT-DOC-000028,ilegivel,2025-07|2025-08|2025-09,1861.00,nao_extraido,0.28,solicitar_arquivo_legivel,sim,confirmado
inteli,graduacao_2026,INT-SYN-0003,arquivo_ilegivel,INT-SYN-0003-M2,responsavel,37,mei,renda,comprovante_mei_e_dasn_simei,renda_mei,condicional,INT-DOC-000029,ok,2025-07|2025-08|2025-09,1861.00,1861.00,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0003,arquivo_ilegivel,INT-SYN-0003-M2,responsavel,37,mei,gastos,comprovantes_saude,gasto_de_saude_declarado,condicional,INT-DOC-000030,ok,media_2025-07_a_2025-09,560.00,560.00,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0004,periodo_incompleto,INT-SYN-0004-M1,candidato,21,sem_renda,identificacao,rg_ou_cnh_candidato,todo_candidato,obrigatorio,INT-DOC-000031,ok,atual,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0004,periodo_incompleto,INT-SYN-0004-M2,responsavel,38,aposentado,identificacao,rg_cpf_adulto,todo_adulto,obrigatorio,INT-DOC-000032,ok,atual,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0004,periodo_incompleto,INT-SYN-0004-M2,responsavel,38,aposentado,residencia,comprovante_residencia_ultimo_mes,todo_grupo_familiar,obrigatorio,INT-DOC-000033,ok,2025-09,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0004,periodo_incompleto,INT-SYN-0004-M2,responsavel,38,aposentado,moradia,declaracao_cessao_imovel,moradia_cedida,condicional,INT-DOC-000034,ok,2025-09,1200.00,1200.00,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0004,periodo_incompleto,INT-SYN-0004-M2,responsavel,38,aposentado,trabalho,ctps,todo_adulto,obrigatorio,INT-DOC-000035,ok,atual,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0004,periodo_incompleto,INT-SYN-0004-M2,responsavel,38,aposentado,trabalho,cnis_completo,todo_adulto,obrigatorio,INT-DOC-000036,ok,atual,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0004,periodo_incompleto,INT-SYN-0004-M2,responsavel,38,aposentado,tributario,irpf_com_recibo_ou_nada_consta,todo_adulto,obrigatorio,INT-DOC-000037,ok,exercicio_2025_ano_base_2024,nao_se_aplica,nao_se_aplica,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0004,periodo_incompleto,INT-SYN-0004-M2,responsavel,38,aposentado,financeiro,extratos_todas_contas,todo_adulto,obrigatorio,INT-DOC-000038,periodo_incompleto,2025-07|2025-08|2025-09,1998.00,1998.00,0.89,solicitar_competencias_ausentes,sim,confirmado
inteli,graduacao_2026,INT-SYN-0004,periodo_incompleto,INT-SYN-0004-M2,responsavel,38,aposentado,renda,extrato_beneficio_3_meses,renda_aposentado,condicional,INT-DOC-000039,ok,2025-07|2025-08|2025-09,1998.00,1998.00,0.97,nenhuma,nao,confirmado
inteli,graduacao_2026,INT-SYN-0004,periodo_incompleto,INT-SYN-0004-M2,responsavel,38,aposentado,gastos,comprovantes_educacao,gasto_de_educacao_declarado,condicional,INT-DOC-000040,ok,media_2025-07_a_2025-09,250.00,250.00,0.97,nenhuma,nao,confirmado
